dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_max_cell_volt,b_min_cell_volt,b_accum_discharg_power_quan,b_soh,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M2211123122,2022-03-31 07:59:00.000,76.5,1.0,567.3,3.94,3.92,1558.0,100.0,False,False,False,0.0,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:00.000,76.5,1.0,567.3,3.94,3.92,1558.0,100.0,False,False,False,0.0,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:00.000,76.5,1.0,567.3,3.94,3.92,1558.0,100.0,False,False,False,0.0,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:10.000,76.5,0.8,567.3,3.94,3.92,1558.0,100.0,False,False,False,0.0,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:10.000,76.5,0.8,567.3,3.94,3.92,1558.0,100.0,False,False,False,0.0,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:10.000,76.5,0.8,567.3,3.94,3.92,1558.0,100.0,False,False,False,0.0,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:20.000,76.5,0.7,567.4,3.94,3.92,1558.0,100.0,False,False,False,0.0,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:20.000,76.5,0.7,567.4,3.94,3.92,1558.0,100.0,False,False,False,0.0,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:20.000,76.5,0.7,567.4,3.94,3.92,1558.0,100.0,False,False,False,0.0,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:30.000,76.5,3.7,567.0,3.92,3.92,1558.0,100.0,False,False,False,9.248,6.944,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:30.000,76.5,3.7,567.0,3.92,3.92,1558.0,100.0,False,False,False,9.248,6.944,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:30.000,76.5,3.7,567.0,3.92,3.92,1558.0,100.0,False,False,False,9.248,6.944,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:40.000,76.5,21.6,565.4,3.92,3.92,1558.0,100.0,False,False,False,21.472,12.6,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:40.000,76.5,21.6,565.4,3.92,3.92,1558.0,100.0,False,False,False,21.472,12.6,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:40.000,76.5,21.6,565.4,3.92,3.92,1558.0,100.0,False,False,False,21.472,12.6,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:50.000,76.5,-14.4,568.5,3.94,3.94,1558.0,100.0,False,False,False,6.432,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:50.000,76.5,-14.4,568.5,3.94,3.94,1558.0,100.0,False,False,False,6.432,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 07:59:50.000,76.5,-14.4,568.5,3.94,3.94,1558.0,100.0,False,False,False,6.432,0.0,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:00.000,76.5,12.5,566.2,3.92,3.92,1558.0,100.0,False,False,False,6.544,23.398,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:00.000,76.5,12.5,566.2,3.92,3.92,1558.0,100.0,False,False,False,6.544,23.398,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:00.000,76.5,12.5,566.2,3.92,3.92,1558.0,100.0,False,False,False,6.544,23.398,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:10.000,76.0,32.0,563.3,3.9,3.9,1558.0,100.0,False,False,False,48.096,8.596,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:10.000,76.0,32.0,563.3,3.9,3.9,1558.0,100.0,False,False,False,48.096,8.596,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:10.000,76.0,32.0,563.3,3.9,3.9,1558.0,100.0,False,False,False,48.096,8.596,,6931.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:20.000,76.0,-22.3,568.3,3.94,3.94,1558.1,100.0,False,False,False,44.848,15.09,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:20.000,76.0,-22.3,568.3,3.94,3.94,1558.1,100.0,False,False,False,44.848,15.09,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:20.000,76.0,-22.3,568.3,3.94,3.94,1558.1,100.0,False,False,False,44.848,15.09,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:30.000,76.0,25.3,564.7,3.92,3.92,1558.1,100.0,False,False,False,42.016,13.288,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:30.000,76.0,25.3,564.7,3.92,3.92,1558.1,100.0,False,False,False,42.016,13.288,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:30.000,76.0,25.3,564.7,3.92,3.92,1558.1,100.0,False,False,False,42.016,13.288,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:40.000,76.0,-10.2,567.4,3.92,3.92,1558.1,100.0,False,False,False,30.208,0.788,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:40.000,76.0,-10.2,567.4,3.92,3.92,1558.1,100.0,False,False,False,30.208,0.788,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:40.000,76.0,-10.2,567.4,3.92,3.92,1558.1,100.0,False,False,False,30.208,0.788,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:50.000,76.0,-3.1,567.5,3.94,3.92,1558.1,100.0,False,False,False,10.656,0.0,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:50.000,76.0,-3.1,567.5,3.94,3.92,1558.1,100.0,False,False,False,10.656,0.0,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:00:50.000,76.0,-3.1,567.5,3.94,3.92,1558.1,100.0,False,False,False,10.656,0.0,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:01:00.000,76.0,-13.3,567.8,3.94,3.92,1558.1,100.0,False,False,False,25.632,0.0,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
M2211123122,2022-03-31 08:01:00.000,76.0,-13.3,567.8,3.94,3.92,1558.1,100.0,False,False,False,25.632,0.0,,6932.0,16.0,16.0,15.0,16.0,IONIQ5
