dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_max_cell_volt,b_min_cell_volt,b_accum_charg_power_quan,b_soh,b_slow_charg_con_sts,b_fast_charg_con_sts,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M2210703914,2022-01-12 09:26:09.000,28.5,-16.5,648.7,3.6,3.6,2346.6,100.0,False,True,,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:26:20.000,28.5,-71.8,664.3,3.68,3.68,2346.6,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:26:30.000,28.5,-71.5,666.1,3.7,3.68,2346.8,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:26:40.000,29.0,-71.4,667.6,3.7,3.7,2346.9,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:26:50.000,29.0,-71.1,668.7,3.72,3.7,2347.0,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:27:00.000,29.0,-71.0,669.7,3.72,3.7,2347.1,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:27:10.000,29.0,-71.0,670.4,3.72,3.7,2347.2,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:27:20.000,29.5,-70.9,671.1,3.72,3.72,2347.3,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:27:30.000,29.5,-70.8,671.6,3.74,3.72,2347.5,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:27:40.000,29.5,-70.8,672.1,3.74,3.72,2347.6,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:27:50.000,29.5,-64.6,671.0,3.72,3.72,2347.7,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:28:00.000,30.0,-64.6,671.2,3.72,3.72,2347.8,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:28:10.000,30.0,-64.6,671.5,3.72,3.72,2347.9,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:28:20.000,30.0,-64.5,671.6,3.74,3.72,2348.0,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:28:30.000,30.5,-64.5,671.8,3.74,3.72,2348.1,100.0,False,True,-3.0,,0.0,1.0,0.0,1.0,IONIQ5
M2210703914,2022-01-12 09:28:40.000,30.5,-64.5,671.9,3.74,3.72,2348.3,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:28:50.000,30.5,-64.5,672.1,3.74,3.72,2348.4,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:29:00.000,31.0,-64.5,672.2,3.74,3.72,2348.5,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:29:10.000,31.0,-64.5,672.3,3.74,3.72,2348.6,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:29:20.000,31.0,-64.5,672.4,3.74,3.72,2348.7,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:29:30.000,31.5,-64.4,672.5,3.74,3.72,2348.9,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:29:40.000,31.5,-64.4,672.6,3.74,3.72,2349.0,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:29:50.000,31.5,-64.4,672.6,3.74,3.72,2349.1,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:30:00.000,32.0,-64.4,672.7,3.74,3.72,2349.2,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:30:10.000,32.0,-64.4,672.8,3.74,3.72,2349.3,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:30:20.000,32.0,-64.4,672.8,3.74,3.72,2349.5,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:30:30.000,32.0,-64.4,672.8,3.74,3.72,2349.6,100.0,False,True,-3.0,,0.0,1.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:30:40.000,32.5,-64.4,672.9,3.74,3.72,2349.7,100.0,False,True,-3.0,,0.0,2.0,0.0,2.0,IONIQ5
M2210703914,2022-01-12 09:30:50.000,32.5,-64.4,672.9,3.74,3.72,2349.8,100.0,False,True,-3.0,,0.0,2.0,1.0,2.0,IONIQ5
M2210703914,2022-01-12 09:31:00.000,32.5,-64.4,673.0,3.74,3.72,2349.9,100.0,False,True,-3.0,,0.0,2.0,1.0,2.0,IONIQ5
M2210703914,2022-01-12 09:31:10.000,33.0,-64.4,673.0,3.74,3.72,2350.1,100.0,False,True,-3.0,,0.0,2.0,1.0,2.0,IONIQ5
M2210703914,2022-01-12 09:31:20.000,33.0,-64.4,673.0,3.74,3.72,2350.2,100.0,False,True,-3.0,,0.0,2.0,1.0,2.0,IONIQ5
M2210703914,2022-01-12 09:31:30.000,33.0,-64.4,673.1,3.74,3.72,2350.3,100.0,False,True,-3.0,,0.0,2.0,1.0,2.0,IONIQ5
M2210703914,2022-01-12 09:31:40.000,33.5,-64.4,673.1,3.74,3.72,2350.4,100.0,False,True,-3.0,,0.0,2.0,1.0,2.0,IONIQ5
