dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_max_cell_volt,b_min_cell_volt,b_accum_charg_power_quan,b_soh,b_slow_charg_con_sts,b_fast_charg_con_sts,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M2210703926,2022-01-02 17:21:23.000,54.5,-33.1,673.3,3.74,3.72,613.8,100.0,False,True,,,2.0,3.0,2.0,2.0,IONIQ5
M2210703926,2022-01-02 17:21:34.000,54.5,-104.7,690.5,3.82,3.82,613.8,100.0,False,True,1.0,,2.0,3.0,2.0,2.0,IONIQ5
M2210703926,2022-01-02 17:21:44.000,55.0,-76.1,692.9,3.84,3.84,614.0,100.0,False,True,1.0,,2.0,3.0,2.0,2.0,IONIQ5
M2210703926,2022-01-02 17:21:54.000,55.0,-75.4,694.9,3.86,3.84,614.1,100.0,False,True,1.0,,2.0,3.0,2.0,2.0,IONIQ5
M2210703926,2022-01-02 17:22:04.000,55.0,-64.4,694.3,3.86,3.84,614.2,100.0,False,True,1.0,,2.0,3.0,2.0,2.0,IONIQ5
M2210703926,2022-01-02 17:22:14.000,55.5,-89.2,695.4,3.86,3.84,614.3,100.0,False,True,1.0,,2.0,3.0,2.0,2.0,IONIQ5
M2210703926,2022-01-02 17:22:24.000,55.5,-89.3,696.5,3.86,3.86,614.4,100.0,False,True,1.0,,2.0,3.0,2.0,3.0,IONIQ5
M2210703926,2022-01-02 17:22:34.000,55.5,-89.1,697.5,3.86,3.86,614.5,100.0,False,True,1.0,,2.0,3.0,2.0,3.0,IONIQ5
M2210703926,2022-01-02 17:22:44.000,55.5,-89.2,698.4,3.88,3.86,614.6,100.0,False,True,1.0,,2.0,3.0,2.0,3.0,IONIQ5
M2210703926,2022-01-02 17:22:54.000,56.0,-89.1,699.2,3.88,3.86,614.7,100.0,False,True,1.0,,2.0,3.0,2.0,3.0,IONIQ5
M2210703926,2022-01-02 17:23:04.000,56.0,-88.9,699.8,3.88,3.88,614.8,100.0,False,True,1.0,,2.0,3.0,2.0,3.0,IONIQ5
M2210703926,2022-01-02 17:23:14.000,56.0,-80.6,698.8,3.88,3.86,614.9,100.0,False,True,1.0,,2.0,3.0,2.0,3.0,IONIQ5
M2210703926,2022-01-02 17:23:24.000,56.0,-50.7,698.0,3.88,3.86,615.0,100.0,False,True,1.0,,3.0,3.0,2.0,3.0,IONIQ5
M2210703926,2022-01-02 17:23:34.000,56.5,-50.6,698.2,3.88,3.86,615.1,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:23:44.000,56.5,-50.6,698.4,3.88,3.86,615.2,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:23:54.000,56.5,-50.6,698.7,3.88,3.86,615.2,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:24:04.000,56.5,-50.7,698.9,3.88,3.86,615.3,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:24:14.000,56.5,-50.7,699.2,3.88,3.86,615.4,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:24:24.000,57.0,-50.7,699.4,3.88,3.88,615.5,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:24:34.000,57.0,-50.7,699.6,3.88,3.88,615.6,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:24:44.000,57.0,-50.6,699.9,3.88,3.88,615.7,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:24:54.000,57.0,-50.6,700.1,3.88,3.88,615.8,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:25:04.000,57.5,-50.5,700.3,3.88,3.88,615.9,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:25:14.000,57.5,-50.6,700.5,3.88,3.88,616.0,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:25:24.000,57.5,-50.6,700.6,3.88,3.88,616.1,100.0,False,True,1.0,,3.0,3.0,3.0,3.0,IONIQ5
M2210703926,2022-01-02 17:25:34.000,57.5,-50.6,700.8,3.88,3.88,616.2,100.0,False,True,1.0,,3.0,4.0,3.0,3.0,IONIQ5
