dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_charg_power_quan,b_slow_charg_con_sts,b_fast_charg_con_sts,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M2210703926,2022-01-10 21:57:43.000,36.0,-31.2,652.4,710.8,False,True,,,6.0,10.0,6.0,9.0,IONIQ5
M2210703926,2022-01-10 21:57:54.000,36.0,-105.5,665.3,710.8,False,True,1.0,,6.0,10.0,6.0,9.0,IONIQ5
M2210703926,2022-01-10 21:58:04.000,36.0,-96.7,670.2,711.0,False,True,1.0,,6.0,10.0,6.0,9.0,IONIQ5
M2210703926,2022-01-10 21:58:14.000,36.5,-96.6,671.8,711.2,False,True,1.0,,6.0,10.0,6.0,9.0,IONIQ5
M2210703926,2022-01-10 21:58:24.000,36.5,-96.9,673.1,711.3,False,True,1.0,,6.0,10.0,6.0,9.0,IONIQ5
M2210703926,2022-01-10 21:58:34.000,37.0,-96.8,674.1,711.5,False,True,1.0,,6.0,10.0,6.0,9.0,IONIQ5
M2210703926,2022-01-10 21:58:44.000,37.0,-96.8,675.0,711.6,False,True,1.0,,6.0,10.0,6.0,9.0,IONIQ5
M2210703926,2022-01-10 21:58:54.000,37.0,-96.8,675.7,711.8,False,True,1.0,,6.0,10.0,6.0,9.0,IONIQ5
M2210703926,2022-01-10 21:59:04.000,37.5,-96.6,676.4,711.9,False,True,1.0,,6.0,10.0,7.0,9.0,IONIQ5
M2210703926,2022-01-10 21:59:14.000,37.5,-96.9,677.0,712.1,False,True,1.0,,6.0,10.0,7.0,9.0,IONIQ5
M2210703926,2022-01-10 21:59:24.000,38.0,-96.4,677.3,712.2,False,True,1.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 21:59:34.000,38.0,-97.1,677.9,712.3,False,True,1.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 21:59:44.000,38.0,-97.0,678.3,712.5,False,True,1.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 21:59:54.000,38.5,-96.9,678.7,712.6,False,True,1.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 22:00:04.000,38.5,-97.0,679.1,712.7,False,True,1.0,,7.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 22:00:14.000,38.5,-96.7,679.5,712.9,False,True,1.0,,7.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 22:00:24.000,39.0,-96.9,679.8,713.0,False,True,1.0,,7.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 22:00:34.000,39.0,-97.0,680.1,713.2,False,True,1.0,,7.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 22:00:44.000,39.0,-96.9,680.4,713.3,False,True,1.0,,7.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 22:00:54.000,39.5,-96.8,680.7,713.5,False,True,1.0,,7.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 22:01:04.000,39.5,-96.9,681.0,713.6,False,True,1.0,,7.0,10.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 22:01:14.000,40.0,-96.8,681.3,713.8,False,True,1.0,,7.0,11.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 22:01:24.000,40.0,-96.6,681.5,714.0,False,True,1.0,,7.0,11.0,7.0,10.0,IONIQ5
M2210703926,2022-01-10 22:01:34.000,40.5,-96.9,681.8,714.1,False,True,1.0,,7.0,11.0,8.0,10.0,IONIQ5
M2210703926,2022-01-10 22:01:44.000,40.5,-107.2,679.8,714.3,False,True,1.0,,7.0,11.0,8.0,10.0,IONIQ5
M2210703926,2022-01-10 22:01:54.000,40.5,-106.4,679.6,714.4,False,True,1.0,,7.0,11.0,8.0,10.0,IONIQ5
M2210703926,2022-01-10 22:02:04.000,41.0,-106.7,679.6,714.5,False,True,1.0,,8.0,11.0,8.0,11.0,IONIQ5
M2210703926,2022-01-10 22:02:14.000,41.0,-106.7,679.7,714.7,False,True,1.0,,8.0,11.0,8.0,11.0,IONIQ5
M2210703926,2022-01-10 22:02:24.000,41.0,-106.5,679.8,714.8,False,True,1.0,,8.0,11.0,8.0,11.0,IONIQ5
M2210703926,2022-01-10 22:02:34.000,41.5,-106.7,680.0,715.0,False,True,1.0,,8.0,11.0,8.0,11.0,IONIQ5
M2210703926,2022-01-10 22:02:44.000,41.5,-106.8,680.1,715.1,False,True,1.0,,8.0,11.0,8.0,11.0,IONIQ5
M2210703926,2022-01-10 22:02:54.000,42.0,-106.6,680.3,715.3,False,True,1.0,,8.0,11.0,8.0,11.0,IONIQ5
M2210703926,2022-01-10 22:03:04.000,42.0,-106.6,680.5,715.4,False,True,1.0,,8.0,11.0,8.0,11.0,IONIQ5
M2210703926,2022-01-10 22:03:14.000,42.0,-106.5,680.7,715.6,False,True,1.0,,8.0,11.0,8.0,11.0,IONIQ5
M2210703926,2022-01-10 22:03:24.000,42.5,-106.7,680.9,715.7,False,True,1.0,,8.0,11.0,8.0,11.0,IONIQ5
M2210703926,2022-01-10 22:03:34.000,42.5,-106.8,681.2,715.9,False,True,1.0,,8.0,12.0,8.0,11.0,IONIQ5
M2210703926,2022-01-10 22:03:44.000,42.5,-106.5,681.4,716.1,False,True,1.0,,8.0,12.0,9.0,11.0,IONIQ5
M2210703926,2022-01-10 22:03:54.000,43.0,-106.7,681.7,716.2,False,True,1.0,,9.0,12.0,9.0,11.0,IONIQ5
M2210703926,2022-01-10 22:04:04.000,43.0,-106.6,681.9,716.4,False,True,1.0,,9.0,12.0,9.0,11.0,IONIQ5
M2210703926,2022-01-10 22:04:14.000,43.5,-106.7,682.2,716.5,False,True,1.0,,9.0,12.0,9.0,12.0,IONIQ5
M2210703926,2022-01-10 22:04:24.000,43.5,-106.6,682.5,716.7,False,True,1.0,,9.0,12.0,9.0,12.0,IONIQ5
M2210703926,2022-01-10 22:04:34.000,43.5,-106.6,682.7,716.8,False,True,1.0,,9.0,12.0,9.0,12.0,IONIQ5
M2210703926,2022-01-10 22:04:44.000,44.0,-106.6,683.0,717.0,False,True,1.0,,9.0,12.0,9.0,12.0,IONIQ5
M2210703926,2022-01-10 22:04:54.000,44.0,-106.6,683.3,717.1,False,True,1.0,,9.0,12.0,9.0,12.0,IONIQ5
M2210703926,2022-01-10 22:05:04.000,44.5,-106.5,683.5,717.3,False,True,1.0,,9.0,12.0,9.0,12.0,IONIQ5
M2210703926,2022-01-10 22:05:14.000,44.5,-106.8,683.8,717.4,False,True,1.0,,9.0,12.0,9.0,12.0,IONIQ5
M2210703926,2022-01-10 22:05:24.000,44.5,-76.5,683.6,717.6,False,True,1.0,,9.0,12.0,10.0,12.0,IONIQ5
M2210703926,2022-01-10 22:05:34.000,45.0,-72.3,683.1,717.7,False,True,1.0,,10.0,13.0,10.0,12.0,IONIQ5
M2210703926,2022-01-10 22:05:44.000,45.0,-72.3,683.2,717.9,False,True,1.0,,10.0,13.0,10.0,12.0,IONIQ5
M2210703926,2022-01-10 22:05:54.000,45.0,-72.3,683.3,718.0,False,True,1.0,,10.0,13.0,10.0,12.0,IONIQ5
M2210703926,2022-01-10 22:06:04.000,45.5,-72.3,683.5,718.1,False,True,1.0,,10.0,13.0,10.0,13.0,IONIQ5
M2210703926,2022-01-10 22:06:14.000,45.5,-72.2,683.6,718.3,False,True,1.0,,10.0,13.0,10.0,13.0,IONIQ5
M2210703926,2022-01-10 22:06:24.000,46.0,-72.2,683.8,718.4,False,True,1.0,,10.0,13.0,10.0,13.0,IONIQ5
M2210703926,2022-01-10 22:06:34.000,46.0,-72.3,684.1,718.6,False,True,1.0,,10.0,13.0,10.0,13.0,IONIQ5
M2210703926,2022-01-10 22:06:44.000,46.0,-72.3,684.2,718.7,False,True,1.0,,10.0,13.0,10.0,13.0,IONIQ5
M2210703926,2022-01-10 22:06:54.000,46.5,-72.3,684.5,718.8,False,True,1.0,,10.0,13.0,11.0,13.0,IONIQ5
M2210703926,2022-01-10 22:07:04.000,46.5,-72.3,684.7,719.0,False,True,1.0,,11.0,13.0,11.0,13.0,IONIQ5
M2210703926,2022-01-10 22:07:14.000,46.5,-72.3,684.9,719.1,False,True,1.0,,11.0,14.0,11.0,13.0,IONIQ5
M2210703926,2022-01-10 22:07:24.000,47.0,-72.2,685.1,719.2,False,True,1.0,,11.0,14.0,11.0,13.0,IONIQ5
M2210703926,2022-01-10 22:07:34.000,47.0,-72.3,685.3,719.4,False,True,1.0,,11.0,14.0,11.0,13.0,IONIQ5
M2210703926,2022-01-10 22:07:44.000,47.0,-72.3,685.6,719.5,False,True,1.0,,11.0,14.0,11.0,14.0,IONIQ5
M2210703926,2022-01-10 22:07:54.000,47.5,-72.3,685.8,719.7,False,True,1.0,,11.0,14.0,11.0,14.0,IONIQ5
M2210703926,2022-01-10 22:08:04.000,47.5,-72.4,686.0,719.8,False,True,1.0,,11.0,14.0,11.0,14.0,IONIQ5
M2210703926,2022-01-10 22:08:14.000,47.5,-72.3,686.2,719.9,False,True,1.0,,11.0,14.0,11.0,14.0,IONIQ5
M2210703926,2022-01-10 22:08:24.000,48.0,-72.3,686.5,720.1,False,True,1.0,,12.0,14.0,12.0,14.0,IONIQ5
M2210703926,2022-01-10 22:08:34.000,48.0,-72.2,686.7,720.2,False,True,1.0,,12.0,14.0,12.0,14.0,IONIQ5
M2210703926,2022-01-10 22:08:44.000,48.0,-72.3,686.9,720.4,False,True,1.0,,12.0,14.0,12.0,14.0,IONIQ5
M2210703926,2022-01-10 22:08:54.000,48.5,-72.2,687.2,720.5,False,True,1.0,,12.0,15.0,12.0,14.0,IONIQ5
M2210703926,2022-01-10 22:09:04.000,48.5,-72.3,687.4,720.6,False,True,1.0,,12.0,15.0,12.0,14.0,IONIQ5
M2210703926,2022-01-10 22:09:14.000,49.0,-72.3,687.6,720.8,False,True,1.0,,12.0,15.0,12.0,15.0,IONIQ5
M2210703926,2022-01-10 22:09:24.000,49.0,-72.3,687.9,720.9,False,True,1.0,,12.0,15.0,12.0,15.0,IONIQ5
M2210703926,2022-01-10 22:09:34.000,49.0,-72.2,688.1,721.1,False,True,1.0,,12.0,15.0,12.0,15.0,IONIQ5
M2210703926,2022-01-10 22:09:44.000,49.5,-84.4,686.8,721.2,False,True,1.0,,12.0,15.0,12.0,15.0,IONIQ5
M2210703926,2022-01-10 22:09:54.000,49.5,-83.4,686.5,721.3,False,True,1.0,,13.0,15.0,13.0,15.0,IONIQ5
M2210703926,2022-01-10 22:10:04.000,49.5,-83.4,686.5,721.4,False,True,1.0,,13.0,15.0,13.0,15.0,IONIQ5
M2210703926,2022-01-10 22:10:14.000,50.0,-83.5,686.6,721.6,False,True,1.0,,13.0,15.0,13.0,15.0,IONIQ5
M2210703926,2022-01-10 22:10:24.000,50.0,-83.4,686.6,721.7,False,True,1.0,,13.0,16.0,13.0,15.0,IONIQ5
M2210703926,2022-01-10 22:10:34.000,50.0,-83.4,686.7,721.8,False,True,1.0,,13.0,16.0,13.0,15.0,IONIQ5
M2210703926,2022-01-10 22:10:44.000,50.0,-83.4,686.8,721.9,False,True,1.0,,13.0,16.0,13.0,16.0,IONIQ5
M2210703926,2022-01-10 22:10:54.000,50.5,-83.4,687.0,722.1,False,True,1.0,,13.0,16.0,13.0,16.0,IONIQ5
M2210703926,2022-01-10 22:11:04.000,50.5,-83.4,687.1,722.2,False,True,1.0,,13.0,16.0,13.0,16.0,IONIQ5
M2210703926,2022-01-10 22:11:14.000,50.5,-83.4,687.3,722.3,False,True,1.0,,13.0,16.0,13.0,16.0,IONIQ5
M2210703926,2022-01-10 22:11:24.000,51.0,-83.4,687.4,722.4,False,True,1.0,,14.0,16.0,14.0,16.0,IONIQ5
M2210703926,2022-01-10 22:11:34.000,51.0,-83.4,687.6,722.5,False,True,1.0,,14.0,16.0,14.0,16.0,IONIQ5
M2210703926,2022-01-10 22:11:44.000,51.0,-83.5,687.8,722.6,False,True,1.0,,14.0,16.0,14.0,16.0,IONIQ5
M2210703926,2022-01-10 22:11:54.000,51.5,-83.4,687.9,722.7,False,True,1.0,,14.0,16.0,14.0,16.0,IONIQ5
M2210703926,2022-01-10 22:12:04.000,51.5,-83.4,688.1,722.9,False,True,1.0,,14.0,17.0,14.0,16.0,IONIQ5
M2210703926,2022-01-10 22:12:14.000,51.5,-83.3,688.3,723.0,False,True,1.0,,14.0,17.0,14.0,16.0,IONIQ5
M2210703926,2022-01-10 22:12:24.000,51.5,-83.4,688.5,723.1,False,True,1.0,,14.0,17.0,14.0,17.0,IONIQ5
M2210703926,2022-01-10 22:12:34.000,52.0,-83.4,688.7,723.2,False,True,1.0,,14.0,17.0,14.0,17.0,IONIQ5
M2210703926,2022-01-10 22:12:44.000,52.0,-83.4,688.9,723.3,False,True,1.0,,14.0,17.0,15.0,17.0,IONIQ5
M2210703926,2022-01-10 22:12:54.000,52.0,-133.2,694.4,723.5,False,True,1.0,,15.0,17.0,15.0,17.0,IONIQ5
M2210703926,2022-01-10 22:13:04.000,52.5,-119.2,697.1,723.7,False,True,1.0,,15.0,17.0,15.0,17.0,IONIQ5
