dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_charg_power_quan,b_slow_charg_con_sts,b_fast_charg_con_sts,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M1200607457,2022-01-05 19:28:00.000,36.5,-34.8,658.5,1068.2,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:28:10.000,37.0,-34.8,658.6,1068.2,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:28:20.000,37.0,-34.8,658.6,1068.2,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:28:30.000,37.0,-34.8,658.6,1068.2,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:28:40.000,37.0,-34.8,658.6,1068.2,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:28:50.000,37.0,-34.8,658.7,1068.2,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:29:00.000,37.0,-34.8,658.7,1068.3,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:29:10.000,37.0,-34.8,658.7,1068.3,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:29:20.000,37.0,-34.8,658.7,1068.3,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:29:30.000,37.0,-34.8,658.7,1068.3,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:29:40.000,37.0,-34.8,658.7,1068.3,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:29:50.000,37.0,-34.8,658.7,1068.3,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:30:00.000,37.0,-34.8,658.8,1068.4,True,False,2.0,,4.0,5.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:30:10.000,37.0,-34.7,658.7,1068.4,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:30:20.000,37.0,-34.8,658.8,1068.4,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:30:30.000,37.0,-34.8,658.8,1068.4,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:30:40.000,37.0,-34.7,658.8,1068.4,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:30:50.000,37.0,-34.7,658.8,1068.4,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:31:00.000,37.0,-34.7,658.8,1068.5,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:31:10.000,37.0,-34.8,658.9,1068.5,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:31:20.000,37.0,-34.7,658.8,1068.5,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:31:30.000,37.0,-34.7,658.8,1068.5,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:31:40.000,37.0,-34.7,658.9,1068.5,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:31:50.000,37.0,-34.7,658.9,1068.5,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:32:00.000,37.5,-34.7,658.9,1068.6,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:32:10.000,37.5,-34.7,659.0,1068.6,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:32:20.000,37.5,-34.7,659.0,1068.6,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:32:30.000,37.5,-34.7,658.9,1068.6,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:32:41.000,37.5,-34.7,659.0,1068.6,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:32:51.000,37.5,-34.7,659.0,1068.6,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:33:01.000,37.5,-34.7,659.0,1068.7,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:33:11.000,37.5,-34.8,659.0,1068.7,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:33:21.000,37.5,-34.8,659.1,1068.7,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:33:31.000,37.5,-34.8,659.1,1068.7,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:33:41.000,37.5,-34.8,659.1,1068.7,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:33:51.000,37.5,-34.8,659.1,1068.7,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:34:01.000,37.5,-34.7,659.1,1068.8,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:34:11.000,37.5,-34.8,659.2,1068.8,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:34:21.000,37.5,-34.8,659.2,1068.8,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:34:31.000,37.5,-34.7,659.2,1068.8,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:34:41.000,37.5,-34.7,659.2,1068.8,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:34:51.000,37.5,-34.8,659.3,1068.8,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:35:01.000,37.5,-34.8,659.3,1068.9,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:35:11.000,37.5,-34.8,659.3,1068.9,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:35:21.000,37.5,-34.8,659.3,1068.9,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:35:31.000,37.5,-34.8,659.3,1068.9,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:35:41.000,38.0,-34.7,659.3,1068.9,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:35:51.000,38.0,-34.8,659.4,1068.9,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:36:01.000,38.0,-34.8,659.4,1069.0,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:36:11.000,38.0,-34.7,659.3,1069.0,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:36:21.000,38.0,-34.7,659.4,1069.0,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:36:31.000,38.0,-34.7,659.4,1069.0,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:36:41.000,38.0,-34.8,659.5,1069.0,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:36:51.000,38.0,-34.7,659.4,1069.0,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:37:01.000,38.0,-34.8,659.5,1069.1,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:37:11.000,38.0,-34.7,659.4,1069.1,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:37:21.000,38.0,-34.7,659.5,1069.1,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:37:31.000,38.0,-34.8,659.5,1069.1,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:37:41.000,38.0,-34.7,659.5,1069.1,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:37:51.000,38.0,-34.8,659.6,1069.1,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:38:01.000,38.0,-34.8,659.6,1069.2,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:38:11.000,38.0,-34.8,659.6,1069.2,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:38:21.000,38.0,-34.8,659.6,1069.2,True,False,2.0,,4.0,6.0,3.0,3.0,IONIQ5
M1200607457,2022-01-05 19:38:31.000,38.0,-34.8,659.6,1069.2,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:38:41.000,38.0,-34.8,659.7,1069.2,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:38:51.000,38.0,-34.8,659.6,1069.2,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:39:01.000,38.0,-34.8,659.7,1069.3,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:39:11.000,38.0,-34.8,659.7,1069.3,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:39:21.000,38.0,-34.8,659.7,1069.3,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:39:31.000,38.5,-34.8,659.7,1069.3,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:39:41.000,38.5,-34.8,659.8,1069.3,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:39:51.000,38.5,-34.8,659.7,1069.3,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:40:01.000,38.5,-34.8,659.8,1069.4,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:40:11.000,38.5,-34.8,659.8,1069.4,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:40:21.000,38.5,-34.8,659.9,1069.4,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:40:31.000,38.5,-34.8,659.8,1069.4,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:40:41.000,38.5,-34.8,659.8,1069.4,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
M1200607457,2022-01-05 19:40:51.000,38.5,-34.7,659.8,1069.4,True,False,2.0,,4.0,6.0,3.0,4.0,IONIQ5
