dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_discharg_power_quan,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M1200607495,2022-01-28 14:02:51.000,67.5,0.4,695.3,440.3,False,False,False,0.0,0.0,,1555.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:03:01.000,67.5,-2.3,691.8,440.3,False,False,False,27.2,27.052,,1555.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:03:11.000,67.5,2.0,694.0,440.4,False,False,False,41.776,6.106,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:03:21.000,67.5,-19.0,696.2,440.4,False,False,False,48.16,2.79,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:03:31.000,67.5,-16.0,696.5,440.4,False,False,False,38.608,22.072,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:03:41.000,67.5,-29.4,695.2,440.4,False,False,False,22.976,9.134,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:03:51.000,67.5,0.3,695.0,440.4,False,False,False,0.0,0.0,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:04:01.000,67.5,0.4,695.0,440.4,False,False,False,0.0,0.0,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:04:11.000,67.5,0.4,695.0,440.4,False,False,False,0.0,0.0,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:04:21.000,67.5,0.4,695.0,440.4,False,False,False,0.0,0.0,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:04:31.000,67.5,0.4,695.0,440.4,False,False,False,0.0,0.0,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:04:41.000,67.5,0.5,695.0,440.4,False,False,False,0.0,0.0,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:04:51.000,67.5,0.6,695.0,440.4,False,False,False,0.0,0.0,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:05:01.000,67.5,0.7,695.0,440.4,False,False,False,0.0,0.0,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:05:11.000,67.5,32.9,690.4,440.5,False,False,False,25.28,27.89,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:05:21.000,67.5,-9.2,692.4,440.5,False,False,False,27.776,17.442,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:05:31.000,67.0,35.0,688.9,440.5,False,False,False,48.096,16.604,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:05:41.000,67.0,7.8,691.8,440.6,False,False,False,57.056,9.434,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:05:51.000,67.0,4.3,691.1,440.6,False,False,False,61.456,5.618,,1556.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:06:01.000,67.0,-26.5,694.6,440.6,False,False,False,34.096,0.0,,1557.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:06:11.000,67.0,-31.2,694.8,440.6,False,False,False,27.2,0.0,,1557.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:06:21.000,67.0,21.1,687.9,440.6,False,False,False,38.544,28.566,,1557.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:06:31.000,67.0,-2.5,689.9,440.7,False,False,False,47.92,9.972,,1557.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:06:41.000,67.0,28.4,688.5,440.7,False,False,False,61.456,13.576,,1557.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:06:51.000,67.0,45.3,683.7,440.7,False,False,False,52.256,23.886,,1557.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:07:01.000,67.0,28.1,687.8,440.8,False,False,False,54.688,13.776,,1557.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:07:11.000,67.0,16.2,684.9,440.9,False,False,False,67.712,12.112,,1558.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:07:21.000,67.0,-54.5,694.9,440.9,False,False,False,66.032,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:07:31.000,67.0,-60.5,698.6,440.9,False,False,False,23.44,0.0,,1558.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:07:41.000,67.0,0.4,694.0,440.9,False,False,False,0.064,0.0,,1558.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
