dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_max_cell_volt,b_min_cell_volt,b_accum_discharg_power_quan,b_soh,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M2210703926,2022-01-13 10:59:34.000,39.0,59.0,635.2,3.54,3.52,696.7,100.0,False,False,False,72.288,35.848,,2670.0,,0.0,,0.0,IONIQ5,108,-5.8,4.4,47,,,,,,,,,
M2210703926,2022-01-13 10:59:44.000,39.0,-63.8,660.9,3.68,3.68,696.8,100.0,False,False,False,64.592,14.752,,2670.0,,0.0,,0.0,IONIQ5,108,-5.8,4.4,47,,,,,,,,,
M2210703926,2022-01-13 10:59:54.000,39.0,-36.1,654.5,3.64,3.64,696.8,100.0,False,False,False,50.752,14.752,,2671.0,,0.0,,0.0,IONIQ5,108,-5.8,4.4,47,,,,,,,,,
M2210703926,2022-01-13 11:00:04.000,39.0,-12.9,655.2,3.64,3.62,696.8,100.0,False,False,False,10.48,0.0,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:00:14.000,39.0,-3.5,645.6,3.58,3.58,696.8,100.0,False,False,False,18.176,18.606,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:00:24.000,39.0,-32.5,652.4,3.62,3.62,696.9,100.0,False,False,False,18.464,17.73,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:00:34.000,39.0,-37.4,653.1,3.62,3.62,696.9,100.0,False,False,False,17.12,30.38,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:00:44.000,38.5,-36.5,652.6,3.62,3.62,696.9,100.0,False,False,False,28.192,0.0,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:00:54.000,39.0,0.3,650.2,3.6,3.6,696.9,100.0,False,False,False,17.12,9.972,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:01:04.000,38.5,3.2,649.9,3.6,3.6,696.9,100.0,False,False,False,20.72,0.0,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:01:14.000,38.5,-9.7,647.0,3.58,3.58,696.9,100.0,False,False,False,12.736,6.106,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:01:24.000,38.5,1.5,650.8,3.6,3.6,696.9,100.0,False,False,False,16.256,0.0,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:01:34.000,38.5,2.4,651.1,3.62,3.6,696.9,100.0,False,False,False,6.08,0.0,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:01:45.000,38.5,3.8,650.6,3.6,3.6,697.0,100.0,False,False,False,5.888,2.452,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:01:55.000,38.5,-8.9,646.6,3.58,3.58,697.0,100.0,False,False,False,27.2,7.77,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:02:04.000,38.5,0.6,651.4,3.62,3.6,697.0,100.0,False,False,False,13.824,14.114,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:02:15.000,38.5,-26.3,651.8,3.62,3.6,697.0,100.0,False,False,False,11.232,0.0,,2671.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:02:25.000,38.5,-10.4,647.6,3.6,3.58,697.0,100.0,False,False,False,21.984,9.622,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:02:35.000,38.5,-7.0,646.7,3.58,3.58,697.0,100.0,False,False,False,24.656,14.264,,2671.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:02:45.000,38.5,-10.2,647.2,3.58,3.58,697.1,100.0,False,False,False,32.416,23.736,,2672.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:02:55.000,38.5,14.3,639.9,3.54,3.54,697.1,100.0,False,False,False,42.88,16.754,,2672.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:03:05.000,38.5,-14.0,654.8,3.64,3.62,697.1,100.0,False,False,False,26.048,0.0,,2672.0,,0.0,,0.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:03:15.000,38.5,-25.7,651.8,3.62,3.62,697.1,100.0,False,False,False,18.576,7.77,,2672.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:03:25.000,38.5,-26.1,651.6,3.62,3.6,697.1,100.0,False,False,False,10.768,0.0,,2672.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:03:35.000,38.5,-14.7,655.2,3.64,3.62,697.2,100.0,False,False,False,13.6,0.0,,2672.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:03:45.000,38.5,-11.5,648.0,3.6,3.58,697.2,100.0,False,False,False,11.68,9.284,,2672.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:03:55.000,38.5,9.2,649.2,3.6,3.6,697.2,100.0,False,False,False,13.024,6.456,,2672.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:04:05.000,38.5,-27.8,652.2,3.62,3.62,697.2,100.0,False,False,False,17.36,11.086,,2672.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:04:15.000,38.5,-6.9,646.3,3.58,3.58,697.2,100.0,False,False,False,32.064,14.414,,2672.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
M2210703926,2022-01-13 11:04:25.000,38.5,11.6,647.4,3.58,3.58,697.2,100.0,False,False,False,36.688,7.77,,2672.0,,0.0,,1.0,IONIQ5,108,-5.0,5.6,45,,,,,,,,,
